"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
594,2004,"The Terminal",7.2,3778,60000000
57212,2011,"War Horse",7.2,1848,66000000
296098,2015,"Bridge of Spies",7.2,4309,40000000
11943,1972,"Jeremiah Johnson",7.4,228,0
11963,1975,"Three Days of the Condor",7.4,460,0
1367,1979,"Rocky II",7.1,2020,7000000
1371,1982,"Rocky III",6.7,1850,17000000
239566,2014,"Get on Up",6.7,251,0
426,1958,"Vertigo",8.2,2498,2479000
205,2004,"Hotel Rwanda",7.7,1428,17500000
762,1975,"Monty Python and the Holy Grail",7.8,3048,400000
4543,1983,"The Meaning of Life",7.4,902,0
239563,2014,"St. Vincent",7.1,1068,13000000
12473,2007,"The Visitor",7.2,204,0
103663,2012,"The Hunt",8,1631,3800000
4011,1988,"Beetlejuice",7.3,2981,15000000
364,1992,"Batman Returns",6.8,3184,80000000
522,1994,"Ed Wood",7.5,1130,18000000
2668,1999,"Sleepy Hollow",7.1,3458,100000000
12155,2010,"Alice in Wonderland",6.6,8700,200000000
87093,2014,"Big Eyes",7,2150,10000000
293660,2016,"Deadpool",7.6,20147,58000000
314365,2015,"Spotlight",7.8,4924,20000000
13008,2007,"An American Crime",7.4,293,2000000
280,1991,"Terminator 2: Judgment Day",7.9,6675,102000000
73,1998,"American History X",8.4,5872,20000000
744,1986,"Top Gun",6.8,3125,15000000
9509,2004,"Man on Fire",7.4,2520,70000000
8967,2011,"The Tree of Life",6.6,1728,32000000
320318,2015,"The Clearstream Affair",6.1,49,0
172520,2013,"Coldwater",6.8,103,0
